MQ2,MQ4,MQ5,MQ7,MQ135
143,274,445,631,342
144,275,447,630,344
142,274,446,631,341
144,274,446,632,341
142,274,444,631,340
144,276,446,633,341
144,275,446,634,341
143,277,447,631,340
143,276,445,633,339
141,276,446,628,340
143,275,444,630,339
143,273,443,627,338
143,275,444,630,340
142,274,445,630,341
143,274,444,628,339
143,273,446,629,342
144,269,444,630,342
143,269,445,627,340
143,273,448,635,344
141,271,444,624,339
142,272,443,627,340
142,273,445,628,341
143,273,446,630,341
142,271,445,629,340
142,272,446,629,341
143,272,447,632,341
143,273,446,631,341
140,272,445,630,341
138,271,446,629,340
143,273,446,630,340
143,273,446,631,341
140,272,447,629,341
140,271,446,631,341
142,270,446,628,341
140,273,447,628,335
142,273,446,628,337
140,274,445,629,340
141,274,445,629,340
141,274,445,628,340
139,274,446,630,337
142,275,444,627,341
141,275,444,628,340
141,275,444,628,336
140,275,446,627,341
139,274,443,629,341
139,275,444,628,341
139,275,444,630,339
142,275,444,630,339
141,275,445,626,339
138,275,443,627,337
140,275,442,626,338
141,275,444,626,338
139,276,443,628,341
136,275,445,628,342
140,276,442,628,340
139,275,442,625,340
139,275,443,628,339
141,273,443,624,340
140,274,443,626,338
140,275,441,626,338
139,274,441,627,335
138,274,442,626,339
137,273,441,625,333
139,274,441,625,338
140,273,441,625,341
140,273,444,624,339
139,269,443,627,336
138,270,442,627,337
136,269,444,628,338
139,272,443,622,337
138,269,444,626,339
139,268,443,626,334
139,273,443,626,338
136,273,444,626,338
139,269,442,625,339
137,267,444,624,339
137,271,444,626,341
138,273,446,631,343
139,276,444,629,342
141,275,446,628,342
141,274,445,630,342
141,274,444,628,341
139,272,444,629,342
139,272,444,628,342
140,271,445,629,343
139,270,444,630,343
141,273,443,628,342
139,268,443,628,340
140,271,444,626,340
139,270,443,627,340
140,269,443,627,339
140,269,442,625,337
140,271,442,625,336
140,269,443,625,337
141,271,443,627,338
140,271,442,625,338
139,271,442,623,336
140,268,442,625,338
139,270,441,624,338
140,269,441,623,336
139,270,443,627,339
138,269,443,624,338
139,269,441,623,334
139,269,440,622,336
139,268,440,621,337
139,268,438,620,335
138,267,440,622,335
136,268,441,622,336
138,268,439,621,335
138,269,440,624,337
139,269,441,624,337
135,270,442,624,337
138,269,444,631,339
139,271,446,631,339
138,269,445,629,341
136,269,444,630,341
138,270,444,631,342
138,271,444,631,343
139,270,443,631,340
138,271,445,630,342
139,272,443,628,342
136,270,443,630,343
139,274,446,636,346
138,273,446,633,345
139,274,448,636,344
139,275,448,635,345
139,273,448,634,346
140,273,447,634,346
140,273,448,634,346
138,274,448,633,348
137,272,444,628,344
139,272,447,633,349
138,268,442,625,342
136,269,441,626,342
138,270,443,624,339
138,271,443,625,340
139,268,443,626,339
139,270,441,626,338
138,268,441,625,339
140,268,443,627,339
138,269,443,625,340
137,269,441,627,339
139,269,443,625,338
139,269,443,627,340
140,269,444,625,338
139,268,443,627,338
139,271,443,626,337
139,270,442,627,339
138,269,442,627,340
138,269,442,626,340
138,269,442,627,338
140,270,444,627,339
137,269,443,628,339
138,269,443,628,338
136,269,444,626,338
138,269,444,626,339
138,270,444,626,340
136,269,444,627,342
138,269,442,627,341
137,271,444,627,341
